cell_number,treatment,run,surviving_cells,max_virophage_amplitude,max_virus_amplitude,t_extinction
2,3,85,1006,2048,512,18132
2,3,71,966,8161,1345,23721
2,3,47,987,3161,1107,17652
2,3,78,1004,2048,590,18727
2,3,40,1002,2048,531,15571
2,3,23,1007,2048,609,12149
2,3,24,995,2048,607,16583
2,3,12,888,25261,2281,42825
2,3,15,1004,2047,570,14074
2,3,41,912,21392,1997,43302
2,3,46,830,31207,2863,44461
2,3,79,1007,2048,819,14498
2,3,70,996,2048,909,16834
2,3,84,749,43570,4062,66846
2,3,83,1002,3508,652,27532
2,3,77,961,11497,1080,44157
2,3,48,746,32089,2964,71243
2,3,2,600,36360,3302,100001
2,3,5,967,14913,1549,25810
2,3,4,877,34329,3164,39835
2,3,3,988,2048,1009,15768
2,3,100,997,6545,721,23142
2,3,33,997,2183,684,19559
2,3,34,796,26971,2694,79163
2,3,51,947,18490,1698,41461
2,3,69,994,2048,1058,15173
2,3,56,883,39400,3738,39538
2,3,94,997,2230,759,19811
2,3,60,1015,2048,512,12660
2,3,58,924,21101,1946,45012
2,3,67,988,3159,1005,25831
2,3,93,983,2048,1003,20691
2,3,35,954,8191,1016,48127
2,3,32,957,8343,785,61320
2,3,59,980,6730,921,30466
2,3,92,996,2214,684,14923
2,3,66,871,24717,2361,58011
2,3,61,857,28920,2658,58143
2,3,95,683,54208,4916,81520
2,3,68,945,15032,1462,52322
2,3,57,961,3705,1753,23745
2,3,50,749,27432,2637,100001
2,3,86,684,29051,2716,100001
2,3,72,841,33028,3143,48801
2,3,75,998,2241,657,23780
2,3,81,973,7538,787,40610
2,3,43,985,2861,712,24169
2,3,88,910,16396,1516,58465
2,3,44,983,2048,1006,17302
2,3,10,984,2048,1078,17884
2,3,28,821,32993,3076,67783
2,3,17,1017,2048,659,12237
2,3,21,994,2048,761,19736
2,3,19,1001,3051,607,14854
2,3,26,1004,3468,512,34786
2,3,45,779,21095,1943,86175
2,3,42,987,11765,1114,33104
2,3,89,965,8299,753,48899
2,3,80,610,40718,3747,100001
2,3,74,949,11827,1142,38816
2,3,73,1012,2048,611,13714
2,3,87,964,14774,1343,31547
2,3,18,984,8757,807,32063
2,3,27,1009,2048,512,12822
2,3,20,903,18967,1782,80272
2,3,29,1008,3564,917,12824
2,3,16,1004,2048,664,16089
2,3,11,933,10378,963,58666
2,3,6,834,25759,2538,60082
2,3,1,1004,2048,608,23469
2,3,8,998,6269,898,33887
2,3,9,969,3360,1556,15448
2,3,7,608,34795,3141,100001
2,1,55,542,83295,7679,76811
2,1,99,504,82895,8976,65985
2,1,52,538,86114,8267,68457
2,1,64,510,78219,7162,57877
2,1,90,354,72687,7045,74405
2,1,97,660,71522,7587,45374
2,1,63,542,77222,7163,70493
2,1,37,660,65942,6297,63497
2,1,30,784,60745,5599,33350
2,1,39,562,81495,7582,47751
2,1,62,376,105524,10525,65035
2,1,96,760,51220,6620,31707
2,1,91,424,89126,8617,63080
2,1,65,578,80820,7510,46415
2,1,98,418,88200,8231,64827
2,1,53,452,101991,9756,50574
2,1,54,862,33605,3067,41952
2,1,38,560,76129,7937,60257
2,1,31,748,50385,4790,50196
2,1,36,672,62688,6228,86228
2,1,14,746,49882,5881,53045
2,1,13,754,40269,5066,54009
2,1,25,656,49195,4529,59169
2,1,22,434,100392,10203,67997
2,1,76,628,51684,4875,78630
2,1,82,546,87055,7951,71015
2,1,49,470,90403,8707,74372
2,1,85,698,33411,3124,80589
2,1,71,378,95641,9187,82413
2,1,47,570,73008,6564,65807
2,1,78,466,96922,10239,61049
2,1,40,456,115515,11388,53216
2,1,23,508,72468,6402,67494
2,1,24,760,45007,6459,56801
2,1,12,594,85650,9601,59344
2,1,15,562,71533,6660,46710
2,1,41,610,67676,7487,55564
2,1,46,504,79239,7164,86046
2,1,79,718,48562,5398,44612
2,1,70,504,59758,6246,75593
2,1,84,478,58390,5275,75990
2,1,83,488,79932,9117,77837
2,1,77,564,109059,11437,38450
2,1,48,560,105638,9617,42585
2,1,2,636,44879,4341,62980
2,1,5,542,84051,8988,78623
2,1,4,618,83087,7755,44162
2,1,3,570,80984,8089,83132
2,1,100,746,42186,5132,41928
2,1,33,522,56978,5877,98223
2,1,34,768,44807,5009,66813
2,1,51,520,82212,7401,47307
2,1,69,456,80977,7469,51670
2,1,56,650,64099,6194,55396
2,1,94,468,97899,9435,52831
2,1,60,644,64371,8254,45940
2,1,58,504,69237,6711,69413
2,1,67,412,87311,8063,64449
2,1,93,784,39662,3689,57721
2,1,35,522,53430,4856,73738
2,1,32,698,33922,3120,87858
2,1,59,612,69292,6766,87454
2,1,92,658,61926,6350,45145
2,1,66,568,75023,6884,53728
2,1,61,480,107819,10487,53884
2,1,95,608,78226,8313,51102
2,1,68,540,73064,8206,68863
2,1,57,352,104127,9584,65390
2,1,50,768,37047,3876,71045
2,1,86,782,43575,5398,43751
2,1,72,530,91311,9375,57788
2,1,75,832,31808,2934,61953
2,1,81,570,78539,7214,51712
2,1,43,526,74730,6796,55104
2,1,88,782,34434,3777,65503
2,1,44,494,71471,6597,100001
2,1,10,758,43659,4617,45723
2,1,28,790,31855,3947,49514
2,1,17,682,47836,5743,76214
2,1,21,728,71002,6986,40801
2,1,19,506,63286,5903,81667
2,1,26,458,84456,7618,80961
2,1,45,558,61079,8695,55249
2,1,42,592,45103,5331,60131
2,1,89,546,79173,7128,63215
2,1,80,490,79889,8259,65253
2,1,74,778,49903,5003,52933
2,1,73,498,72117,7512,91459
2,1,87,930,20779,1916,45123
2,1,18,404,103440,9349,58781
2,1,27,478,71971,7611,73886
2,1,20,644,80616,7818,47390
2,1,29,600,63989,6510,48994
2,1,16,702,62000,5566,73702
2,1,11,410,72922,6570,66722
2,1,6,390,68962,6500,78968
2,1,1,548,65048,6379,96085
2,1,8,524,86955,8234,61341
2,1,9,598,90450,8299,49076
2,1,7,482,94486,8624,45184
2,2,55,881,24839,3508,26587
2,2,99,831,41897,5480,23921
2,2,52,888,21342,3676,22219
2,2,64,852,30064,5199,20905
2,2,90,874,40488,4459,20058
2,2,97,914,24146,2842,25574
2,2,63,865,29394,4371,26792
2,2,37,895,22600,4365,24522
2,2,30,930,23345,1967,21710
2,2,39,834,25334,4747,27718
2,2,62,871,32354,4422,24110
2,2,96,962,14513,1975,20473
2,2,91,882,25413,3123,24927
2,2,65,919,33004,3367,24140
2,2,98,873,38497,5035,22199
2,2,53,901,20179,4317,23890
